原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
新技术、新产品、新产业、新业态蓬勃发展，创新驱动力越来越大，新动能对经济的支撑作用明显增强。,驱动力,1.0,明显增强,明显增强,创新
,越来越,1.0,业态,业态,技术
,蓬勃发展,1.0,蓬勃发展,蓬勃发展,经济
,经济,1.0,驱动力,驱动力,产业
,明显增强,1.0,动能,动能,作用
,支撑,1.0,支撑,支撑,支撑
,技术,1.0,创新,创新,动能
,动能,1.0,越来越,越来越,产品
,创新,1.0,产业,产业,业态
,作用,1.0,技术,技术,蓬勃发展
,产品,1.0,产品,产品,越来越
,产业,1.0,作用,作用,驱动力
,业态,1.0,经济,经济,明显增强
,,,,,
世界新一轮科技革命和产业变革方兴未艾、多点突破。我们必须推动高质量发展，以适应科技新变化、人民新需要，形成优质高效多样化的供给体系，提供更多优质产品和服务。,科技,2.0,科技,科技,科技
,高质量,1.0,优质产品,优质产品,发展
,高效,1.0,方兴未艾,方兴未艾,推动
,革命,1.0,高质量,高质量,产业
,需要,1.0,多点,多点,我们
,适应,1.0,多样化,多样化,世界
,突破,1.0,高效,高效,体系
,服务,1.0,变革,变革,突破
,方兴未艾,1.0,新一轮,新一轮,人民
,新一轮,1.0,优质,优质,形成
,提供,1.0,供给,供给,变革
,推动,1.0,适应,适应,必须
,我们,1.0,体系,体系,需要
,必须,1.0,突破,突破,服务
,形成,1.0,革命,革命,革命
,多点,1.0,,,
,多样化,1.0,,,
,变革,1.0,,,
,变化,1.0,,,
,发展,1.0,,,
,供给,1.0,,,
,体系,1.0,,,
,优质产品,1.0,,,
,优质,1.0,,,
,人民,1.0,,,
,产业,1.0,,,
,世界,1.0,,,
,,,,,
从投入产出看，高质量发展应该不断提高劳动效率、资本效率、土地效率、资源效率、环境效率，不断提升科技进步贡献率，不断提高全要素生产率。,效率,4.0,效率,效率,发展
,不断,3.0,不断,不断,提高
,提高,2.0,劳动效率,劳动效率,资源
,高质量,1.0,投入产出,投入产出,提升
,资源,1.0,科技进步,科技进步,不断
,资本,1.0,提高,提高,环境
,贡献率,1.0,贡献率,贡献率,要素
,要素,1.0,高质量,高质量,高质量
,科技进步,1.0,生产率,生产率,科技进步
,生产率,1.0,要素,要素,应该
,环境,1.0,提升,提升,效率
,提升,1.0,资源,资源,资本
,投入产出,1.0,土地,土地,贡献率
,应该,1.0,环境,环境,生产率
,土地,1.0,资本,资本,投入产出
,发展,1.0,,,
,劳动效率,1.0,,,
